,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
4491,120000,95995.06,90000,0.75,7.12,924931
4493,1040,835,0,0.75,1,1040
4494,20000,16068,13500,0.75,0,0
4495,144513,112987,108385,0.75,0,0
4496,444825,315311,333619,0.75,0,0
4497,62232,56722,46674,0.75,1,72000
4498,10665,9488,7999,0.75,0,0
4499,41524,30309,30309,0.73,0,0
4500,181454,136091,136091,0.75,2.75,689789
4502,640009,504038,480007,0.75,15.59,11101927
4503,544001,1817523,408001,0.75,1.84,4466039
4504,40510,28880,30383,0.75,0,0
4506,101895.25,30641,101895.25,1,0,0
4507,41543.69,60096,25630.5,0.62,1.7,135800
4508,20000,15756,15000,0.75,0,0
4509,313500,248159,0,0.75,7.28,32220588
4510,106967,83188,80225,0.75,2.32,247915
4511,11950,14634,7000,0.59,9.01,168199
4512,45000,35888,33750,0.75,0,0
4513,102303,119191,76727,0.75,1,102506
4514,150000,117665,150000,1,0,0
4515,26763,22344,20072,0.75,0,0
4516,438439,635828,328829,0.75,2.43,1964071
4525,117665,88223.75,88223.75,0.75,1,117859
4528,20160,20088,15119,0.75,0,0
4529,393750,310272,295313,0.75,1.16,455479
4531,380520,296940,0,0.75,1.08,411883
4533,15820,59192,11865,0.75,0,0
4534,86320,94334,64740,0.75,1,120000
4535,2000,1568,0,0.75,0,0
4536,211473,267374,158605,0.75,0,0
4537,634000,494072,0,0.75,96.59,61238607
4538,8487,18904,6365,0.75,5.17,43871
4539,60000,37427,35256,0.59,0,0
4540,51999,37797,30555,0.59,0,0
4541,0,104940,0,0.75,0,0
4542,297633.95,333000,223225.46,0.75,4.09,2424958
4543,952537.12,110250,713996.28,0.75,1.42,2513048
4544,926703,648563,695028,0.75,1,950591
4545,29400,22050,22050,0.75,0,0
4549,220030,165022.5,165022.5,0.75,1.07,235542
4550,2484268.5,1863201.37,603406.6,0.75,1.08,2683775
4552,222300,175614,166725,0.75,0,0
4553,55007,58792,41255,0.75,15.3,1070672
4554,2702,1568,1500,0.56,0,0
4555,13298,8519,8151,0.61,0,0
4556,2505606,1850918,1879205,0.75,1.02,2564000
4557,4219316,1735893,3164487,0.75,1.25,8580238
4558,23536,65486,17652,0.75,44.49,1046999
4559,188666,494072,141500,0.75,1.05,663300
4560,454161,358390,340621,0.75,7.7,3496063
4561,37200,29596,27900,0.75,0,0
4564,4667300,3485419,3485419,0.75,3.4,15857440
4565,17040,226012.5,12780,0.75,0.44,404055
4568,35930,26947.5,26947.5,0.75,4.03,170693
4569,5755907,6998264,4316929.88,0.75,0,0
4571,0,18324,0,0.85,0,0
4572,12000,9453,9000,0.75,0,0
4573,195158,222299,146369,0.75,0,0
4574,658074,1460066,493555,0.75,0,0
4579,47760,35820,19738.35,0.75,5.78,276000
4582,1408965.95,1056724.46,1056724.46,0.75,5.02,7068117
4588,50000,39390,37500,0.75,0,0
4589,38181,30376,0,0.75,0,0
4590,58893,46183,44170,0.75,3.08,181441
4591,45704,31640,33501,0.73,0,0
4592,150000,117665,150000,1,0,0
4593,64256,55759,48191,0.75,1.26,81056
4594,7872,7462,5904,0.75,7.08,55692
4595,579557,41468,434668,0.75,1.04,601342
4596,801088,509930,405419,0.51,1.54,623000
4597,152158,502907,114119,0.75,2.35,1519147
4598,105394,84175,79046,0.75,0,0
4599,264219,190615,161562,0.61,0,0
4616,19948,10608,10000,0.5,0,0
4618,79977,88271,59983,0.75,0,0
4619,1803693,1185587,1352770,0.75,1.41,2407843
4620,44667,35014,33500,0.75,6.24,278523
4621,2063346,1988569,1547152,0.75,3.4,8805446
4622,0,30954,0,0.75,1.05,42059
4623,56471,99195,42353,0.75,0,0
4624,1598163,1063964,1598163,1,1.67,2795382
4625,8408,9486,7904,0.94,0,0
4626,41488,145468,30592,0.74,3.82,713118
4637,98595,76667.9,73946.25,0.75,1.9,187496
4643,788550,709695,65924.41,0.9,2.45,1932000
4648,324968.71,579852,241295.75,0.75,4.21,241111
4650,28150,21113,21112.5,0.75,2.12,740240
4651,750000,94500,562500,0.75,5.7,4432869
4652,2795.85,2984,2795.85,1,0,0
4653,172352.3,130500,129264.23,0.75,0,0
4654,441650,208067,331237.5,0.75,2.14,1001075
4655,2745254.34,1773875.25,2058940.76,0.75,1.85,5520000
4657,17696,12857.25,13271.93,0.75,0,0
4658,8167766.37,288942,4691715.43,0.57,1.07,8635504
4659,0,177500.25,0,0.75,8.29,1970351
4660,381805,250000,250000,0.65,0,0
4661,28404.49,23123,21303.37,0.75,0,0
4662,4133,5096,3100,0.75,0,0
4663,17934,13676,13450.78,0.75,0,0
4664,191900,188078,143925,0.75,0,0
4670,616786,873994,462589,0.75,0,0
4671,582470,192263,342370,0.59,2.56,2112869
4673,34482,78660,32758,0.95,4.23,170897
4674,2616374,2502600,1962281,0.75,1.14,3699888
4681,174655,166211,127101,0.73,0,0
4682,8287677,2769090,8287677,1,10.28,99252524
4683,12504,10372,9378,0.75,0,0
4684,100207,79678,75149,0.75,1,166000
4685,556820,1208690,417615,0.75,2.01,3514414
4686,65000,67285,65000,1,0,0
4687,0,432668,0,0.95,2.48,8940266
4688,66383,41990,39975,0.6,0,0
4689,19000,15116,0,0.75,0,0
4690,1914249,1483228,1435686,0.75,1.22,2343671
4692,67960,66993,50970,0.75,1.61,146103
4693,40315,11942,40315,1,0,0
4694,0,1482052,0,0.75,2.03,3912639
4710,11221505,2525000,2525000,0.23,5.15,66603368
4712,1100000,1579545.83,825000,0.75,1.62,1778077
4713,4444040,2916370,2916370,0.66,1.15,5215363
4714,29632,22224,22224,0.75,10.33,306066
4715,778550,583912.5,583912.5,0.75,1.43,1108085
4724,316441,237330.75,236411.78,0.75,2.74,867595
4728,10000,7878,7500,0.75,0,0
4730,213302,168698,159977,0.75,1.37,297497
4731,0,225688,0,0.75,1.47,423662
4732,30128,76761,22596,0.75,3.26,98069
4733,115800,77691,86850,0.75,3.98,443867
4734,200880,158791,150660,0.75,4.18,839269
4735,44022928,23978241,33017196,0.75,1.91,60266937
4736,0,2841,0,0.75,0,0
4737,87883,86334,65912,0.75,0,0
4738,1481525,1312702,1282348,0.87,1.26,1868647
4739,454872,386816,341154,0.75,0,0
4740,39923,32074,29942,0.75,1,40000
4741,47897,44468,35923,0.75,0,0
4742,246179,95402,184634,0.75,1.72,423033
4743,8359727,341449,6269795,0.75,6.2,71367190
4746,466442,349040,349040,0.75,5.74,2927732
4747,1313000,984750,984750,0.75,2.26,2969776.37
4749,3250000,2437500,2437500,0.75,1.71,5550695
4751,231172,231172,195060.09,1,1,1
4754,80996,64441,60747,0.75,1.01,82383
4755,25419,21665,19064,0.75,0,0
4757,35832,28041,26695,0.75,0,0
4758,3038569,2067662,3038569,1,38.4,7581505
4759,30000,22500,22500,0.75,0,0
4760,23289,18675,17467,0.75,0,0
4763,52923,39897,39692,0.75,0,0
4764,98424,77154,73818,0.75,4.26,139635
4765,119720,111189,89790,0.75,1.71,245696
4766,98556,210459,73917,0.75,1,100000
4767,2300454,7970730,2071329,0.9,0,0
4768,41219,35240,39158,0.95,0,0
4769,346346,436763,329029,0.95,0,0
4772,16114,17392,12086,0.75,0,0
4775,60331,45248,45248,0.75,1.42,88161
4776,125252,77025,93939,0.75,1.06,113543
4777,14779624.41,15333770,11084718.31,0.75,0,0
4778,15026072.82,3000000,2963436.82,0.2,1.41,20773670
4790,1262524,946524,946524,0.75,1.27,1597806
4792,60000,48204,34876,0.75,0,0
4793,590596,447616,555160,0.94,12.92,7534014
4794,479570,437328,359678,0.75,0,0
4795,177623,150267,129870,0.75,2.23,454155
4797,2679951,1803339,2009962.88,0.75,1.62,3792594
4798,11266000,10578013,10295685,0.91,1.3,4855982
4799,116695,152633,87514,0.75,3.51,8830980
4800,34672,509169,34672,1,1,34672
4801,140800,112500,105600,0.75,0,0
4802,82464,112500,61848,0.75,0,0
4806,0,52612.5,52612.5,0.75,1.64,115025
4808,3245000,2433750,2433750,0.75,4.09,13374912
4811,63576,56012,47682,0.75,0,0
4825,21045,16725,15783,0.75,0,0
4826,52000,48375,39000,0.75,0,0
4827,228360,216942,205524,0.9,1.43,359327
4829,1665573,1499015.7,1499015.7,0.9,4.4,7345053
4830,8175.3,7357.77,7357.77,0.9,1,1
4837,27539,35878,20654,0.75,1.69,76953
4839,4546,69607,4546,1,0,0
4840,52124,57942,39093,0.75,0,0
4841,60239,52500,45179,0.75,0,0
4842,58688,42428,42428,0.72,0,0
4853,486017.6,423947.2,435521.87,1,1.7,828000
4855,91657.46,68743.09,68743.09,0.75,1,1
4872,73059,70665,52999,0.73,0,0
4873,1840209,1560435,1380156,0.75,0,0
4874,196697,149427,147523,0.75,10.06,1977725
4875,6276063,4707047,4707047,0.75,1.62,10639201
4876,126188,94641,94641,0.75,1.57,198298
4878,56705,60030,56705,1,0,0
4879,21230,18032,15921,0.75,0,0
4880,127985,69600,95852,0.75,1.15,108099
4881,1075592,806694,806694,0.75,2.72,2960480
4882,217390.21,221196,217390.21,1,1.11,244747
4884,168092,41633,168092,1,0,0
4885,277259,250000,250000,0.9,0,0
4886,29843.12,80000,22382.34,0.75,0,0
4888,46285,33071,33071,0.71,0,0
4889,0,720476,0,0.75,2.33,33878236
4890,175451,154088,131588.43,0.75,0,0
4891,0,275314,0,0.75,0,0
4892,24978,18734,18734,0.75,0,0
4894,0,14325,0,0.75,1.31,26704
4895,994144.49,450000,745608.37,0.75,4.32,4557264
4902,3263967,2447975.25,2447975.25,0.75,1.38,4528811
4903,259992.6,194994.45,194994.45,0.75,1,1
4906,334857.6,301371.84,298449.22,0.9,1.54,782455
4907,26229,19671,19671,0.75,1.55,40739
4908,1690000.6,1482899.6,1267500.45,0.75,1.49,3277599
4909,872828.3,1130732.63,785545.47,0.9,1.97,7731968
4911,4753290,3564967.5,3564967.5,0.75,2.26,10991469
4912,18463,14250,13847,0.75,0,0
4913,18700,14925,14025,0.75,0,0
4914,11850,11250,8100,0.75,0,0
4917,8305.5,7474.95,7474.95,0.9,1,1
4918,0,7168.77,0,0.9,0,0
4919,616400,99750,94500,0.9,1.7,1542083
4923,229467,217993.3,206520.3,0.9,1,229467
4926,69500,54050,0,0.75,1.22,107039
4927,379040,294325,284280,0.75,1.69,640578
4936,2300000,1725000,1725000,0.75,1,1
4942,110000,103500,103500,0.75,2.31,268736
4950,360000,96750,84786.95,0.75,6.2,832396
4951,6682572.6,3000000,1787246.87,0.45,1.65,11058787
4956,517200,235500,387900,0.75,0,0
4957,17986,23250,13490,0.75,0,0
4958,21837,18178,16378,0.75,0,0
4965,175000,248858.62,131250,0.75,1,175000
4973,310200,310200,310200,1,1.02,316519
4978,292019,110723.57,96122.62,0.33,0,0
4985,846125,659043,0,0.75,1.11,1187102
4993,678580,508935,508935,0.75,15.58,11128851
4996,1366605,750000,750000,0.55,1,1366605
5004,179650,174966.3,134737.5,0.75,1.54,276000
5006,37500,33750,33750,0.9,0,0
5008,264531.31,198398.48,198398.48,0.75,1.36,360000
5013,0,2262644.35,0,0.9,2.37,5999894
5015,204000,193600,183600,0.9,1,204000
5019,250667,188000,188000,0.75,10.07,2516790
5020,4032184,3024138,3024138,0.75,1.68,6605961
5023,2295780,1125000,1125000,0.49,1.01,2607389
5026,3382719.03,3044447.13,3044447.13,0.9,3.84,12934485
5029,750000,117604.54,112004.32,1,1.96,2421994
5030,0,37500,0,0,1.1,140347
5033,39046,31222.2,29284.5,0.75,1.42,74370
5040,766000,869958.42,574500,0.75,9.2,5289511
5044,0,1767,0,0.75,2,4400
5045,8806,7745,6605,0.75,1.01,9828
5046,630180,519063,472635,0.75,0,0
5047,214760,169692,161070,0.75,1.01,224227
5048,52256,40112,39192,0.75,0,0
5049,133425,125972,100070,0.75,1.43,191209
5050,77600,60831,0,0.75,3.18,246694
5051,191451,151386,143588,0.75,3.84,735524
5052,138776,64061,122450,0.88,1.11,999523
5053,151932,117958,113896,0.75,0,0
5055,570000,520500,513000,0.9,0,0
5062,825070,783816.5,742563,0.9,1,866320
5068,25500,19125,19125,0.75,0,0
5070,7949404,7669924,7551934,0.95,2.98,23708185
5073,1000000,750000,750000,0.75,1,1
5075,1156800,867600,770500.68,0.75,1,1162050
5076,71914,63228,53936,0.75,0,0
5077,21499,13559,13559,0.63,0,0
5078,137845,206767.5,103383.75,0.75,1,137845
5079,2756770,2067577.5,2067577.5,0.75,11.26,36614958
5116,304912.54,167162.68,167162.68,0.55,1.13,248962
5117,215600,215600,157015.5,1,2.56,552000
5119,334450,365994,334450,1,1,1
5122,1256530.96,1219038.76,1219038.76,0.97,1,1429893.29
5123,1272960.01,1145663.01,772905.48,0.9,1,1278661
5124,625899,527466,469424,0.75,3.21,2257118
5125,49412,37059,37059,0.75,0,0
5126,59527,44645,44645,0.75,0,0
5127,162644,121983,121983,0.75,0,0
5133,59000,44250,44250,0.75,16.12,967856
5139,1345200,1075944.2,1008900,0.75,0,0
5140,7965.3,7168.77,7168.77,0.9,1,1
5141,331200,248400,248400,0.75,0,0
5142,188260,141195,141195,0.75,0,0
5159,259815,193782,193782,0.75,2.4,669458
5166,388142.33,388142,376498.06,1,0,0
5170,233063,221409.85,209756.7,0.9,2.29,566564
5171,8110.2,7299.18,7299.18,0.9,1,1
5172,12000,10800,10800,0.9,0,0
5174,4082840.06,3062130.04,3062130.04,0.75,2.47,10080343
5177,0,402771,0,0.95,2.48,8940266
5179,3801066,195238,2850800,0.75,1.52,5792320
5180,113455,224216,107782,0.95,2.39,550487
5182,12447,11777,9335,0.75,4.79,83101
5183,4074,3273,3056,0.75,1.02,4406
5184,121334,96317,91001,0.75,2.47,299827
5185,4319,3315,3239,0.75,0,0
5186,20000,15912,15000,0.75,0,0
5187,283200,221254,212400,0.75,6.15,1740683
5188,49998,37500,37498,0.75,0,0
5190,69974,545699,69974,1,1.69,2767191
5192,1542414,1479862,1156811,0.75,1.26,2486168
5193,193916,246638,138699,0.72,1.55,535814
5195,500000,375000,375000,0.75,1.12,559234
5197,100000,95000,90000,0.9,0,0
5204,15607.06,173933,15607.06,1,1.01,175000
5207,537142.75,483427.71,483427.71,0.9,2.72,1391321
5220,386300,289725,289725,0.75,0,0
5225,370081,305136,277561,0.75,1,370026
5226,42205,34695,31654,0.75,0,0
5227,16145,16818,10863,0.67,0,0
5228,196315,150273.33,140881.25,0.72,0,0
5231,80000,72000,72000,0.9,0,0
5232,828900,391590,621675,0.75,0,0
5234,20000,15000,15000,0.75,0,0
5235,15303,39946,11477,0.75,0,0
5236,52084,57794,39063,0.75,6.82,506313
5237,42125,269988,31594,0.75,2.04,763562
5238,336855,262500,252641,0.75,0,0
5239,4063319,4662765,3047489,0.75,1.09,6717196
5240,27765580,5058500,19632467,0.71,1.82,50529360
5241,35000,36230,35000,1,0,0
5242,148652,137175,111489,0.75,4.84,884743
5244,5870331,8812661,5870331,1,1.84,10788859
5245,435549,372467,435549,1,1.71,716005
5246,704000,528000,0,0.75,0,0
5247,56450,58219,56450,1,27.82,7267492
5248,777758,162475,583319,0.75,1.61,1319641
5249,50000,51758,50000,1,0,0
5250,1588316,1191237,1191237,0.75,2.96,4697381
5257,96448.5,86803.65,86803.65,0.9,0,0
5258,236250,223875,212625,0.9,0.03,8268
5259,2200488,71575,2200488,1,1.88,7272847
5261,26491,23250,19869,0.75,0,0
5262,26667,21216,20000,0.75,0,0
5263,562800,443044,422100,0.75,1.45,815892
5264,106000,83446,79500,0.75,0,0
5265,13421300,10203438,0,0.75,3.19,3455313
5266,1377357,412784,1033018,0.75,4.69,6464771
5267,0,50916,0,0.75,0,0
5268,12807,12178,9605,0.75,5.12,78329
5269,243656,294661,182742,0.75,2.05,373951
5270,129261,372383,96947,0.75,2.04,1941811
5271,30000,24102,22500,0.75,0,0
5272,15000,218562,11250,0.75,1.82,1457623
5273,317006,260985,237755,0.75,0,0
5274,89702,150000,67277,0.75,0,0
5275,224820,292500,168614.75,0.75,1.64,159202
5277,522223,74420,391667,0.75,1.19,1320874
5278,20050,15728,15037,0.75,0,0
5279,924357.13,57900,693267.85,0.75,4.08,3774654
5280,3761,38479,3762,1,0,0
5281,65000,67285,65000,1,0,0
5282,409825,308858,307369,0.75,3.59,1544056
5283,9088385,8123288,6816289,0.75,1.13,150745
5285,490649,52592,367987,0.75,2.59,1198230
5286,26205,39687,19653.53,0.75,0,0
5288,0,3750,0,0.75,0,0
5289,9608,7500,7206,0.75,0,0
5292,509410.28,458469.25,458469.25,0.9,1,533668
5294,4932000,222300,210600,0.9,1.13,5532094
5295,549334,521867.25,494400.6,0.9,0,0
5299,194100,174690,174690,0.9,0,0
5303,623171.4,157492,623171.4,1,0,0
5305,74091.88,41146,55568.9,0.75,4,305361
5306,10215777,6011597,7661833,0.75,1.01,8070138
5307,79425,52203,59569,0.75,14.76,1417655
5308,411000,374175,308250,0.75,1.16,584688
5310,29287,13790,29288,1,0,0
5311,740229,921628,555172,0.75,0,0
5312,4143413,3465000,3107560,0.75,1.62,7502266
5313,31398,29464,23548,0.75,1.04,38829
5314,25627,40200,19220,0.75,9.83,251884
5315,812760,805865,609570,0.75,0,0
5318,112305,114628,101074,0.9,1.18,132226
5319,267390,114261,267390,1,6.98,1887791
5320,28420,28141,26999,0.95,0,0
5340,4130000,221500,3967500,0.96,1.08,3757200
5342,281277.68,263984,210958.26,0.75,1.48,591224
5343,4207150,3000000.02,0,0.71,4.46,19198394
5344,343089.78,314370,257317.34,0.75,4.72,2222111
5345,62348,62347.35,62347.35,1,0,0
5347,8780,18750,6585,0.75,0,0
5348,92759.55,83287.5,69569.66,0.75,1.41,200915
5349,176750,132562.5,0,0.75,7.99,26060860
5350,0,127884.75,0,0,0,0
5352,6656,5324,4992,0.75,0,0
5355,0,5290.5,0,0.75,0,0
5356,67961.02,48000,48000,0.71,0,0
5357,149415,112061.25,112061.25,0.75,1,149415
5358,3243263.5,2221811.15,2221811.15,0.69,1.51,4422435
5359,19700,14775,14775,0.75,15.06,296611
5362,2818214,2113660.5,1934100.08,0.75,2.02,5681285
5364,7500988,4700000,4700000,0.63,2.53,19127461
5376,8237665,7413898.5,7398611.15,0.9,1.64,6326693.25
5378,251758.81,188819.1,188819.1,0.75,1,1
5379,24000,18000,18000,0.75,0,0
5380,29721,33394,28235,0.95,0,0
5381,147204,94860,74951.57,0.51,1.02,6149
5384,260000,156494.5,173625,0.67,1.36,353491
5387,593961.88,564263.69,534565.69,0.9,1.91,15409480
5388,3240,2483,2376,0.73,0,0
5389,2010250,2334837,1507688,0.75,3.33,6691060
5390,1017534,783363,763151,0.75,1.31,1327498
5391,268795,212132,201596,0.75,1.33,301430
5392,16680,13056,12176,0.73,1.92,32026
5393,116751,139412,105076,0.9,1.68,503012
5394,400238,308691,0,0.75,13.63,5456173
5395,6619,7436,4964,0.75,0,0
5396,0,46526,0,0.75,1,1
5397,113735,115022,85301,0.75,1.53,222681
5398,0,36060,0,0.75,1.11,385616
5399,146076,105283,109557,0.75,0,0
5400,11790,21793,8843,0.75,0,0
5402,697132,509119,522849,0.75,2.07,1409702
5403,756910,567683,567683,0.75,3.72,3006631
5404,0,30000,0,0.75,0,0
5405,58193,74513,43645,0.75,2.46,261736
5406,10706,27350,8030,0.75,4.15,152507
5408,17952,15210,13464,0.75,0,0
5409,1099208.89,67743,824406.66,0.75,2.62,2846087
5411,21250,15938,15938,0.75,0,0
5412,2961874.5,162305,1872541.03,0.75,1.61,3894226
5415,222325,171734,166744,0.75,0,0
5416,76079.9,68190,57059.93,0.75,4.41,401134
5419,154000,115500,115500,0.75,1.95,317969
5420,9850,8162,7263,0.74,1.37,21420
5421,119423,85010,85010,0.71,4.82,492912
5422,722015,42647,541511,0.75,1.78,1308489
5423,6732,4210,4112,0.61,1.37,21420
5425,18120,14710,13590,0.75,0,0
5426,75575,34125,56681,0.75,8.54,645190
5427,122968,91500,91500,0.74,0,0
5428,8759482.2,335789,6569611.65,0.75,4.4,53044659
5429,457212,551638,342909,0.75,0,0
5430,159195.15,130655,119396.36,0.75,7.17,1229899
5431,70923,65254,53192.25,0.75,0,0
5432,956310,748898,717232,0.75,2.53,2565278
5433,770594.21,578642,577945.66,0.75,1.53,1272344
5434,441011,394059,330758,0.75,1.67,900611
5435,39750,29810,29810,0.75,0,0
5436,164062.32,161164,164062.32,1,0,0
5437,79205,80947,59403.75,0.75,3.63,440143
5438,18788,7901,18787.59,1,0,0
5439,92584,134316,70557,0.76,0,0
5440,93165,78780,69874,0.75,0,0
5441,12000,9641,9000,0.75,0,0
5446,29379,27910.05,26441.1,0.9,0,0
5447,680520,377560,451200,0.66,1.65,802890
5448,103982,81890,77987,0.75,0,0
5449,26717,21008,20000,0.75,0,0
5450,174570,136096,0,0.75,2.87,501016
5451,19718,15458,14789,0.75,0,0
5452,669,56986,502,0.75,0,0
5453,54200636,2575000,54200636,1,0,0
5454,1081333,841141,0,0.75,0,0
5455,98573,152533,73930,0.75,0,0
5456,0,58164,0,0.75,0,0
5457,145333,115165,109000,0.75,0,0
5458,67111,85500,50334,0.75,0,0
5459,267924,222325,200943,0.75,1.52,426676
5460,2394382,1499584,1795787,0.75,1.48,3620015
5462,159011.07,113174,119258.3,0.75,1.85,306193
5463,86208,64261,64261,0.75,0,0
5464,23571,16935,17678,0.75,0,0
5466,2378861,1087894,1784145.18,0.75,8.72,4997537
5467,726846,545135,545135,0.75,2.08,1583329
5468,28205,25148,19538,0.69,1.37,21420
5469,86600,53200,53200,0.61,0,0
5470,0,4278,0,0,1.37,21420
5471,546638,409979,409979,0.75,4.92,2759182
5472,22142,18750,16607,0.75,0,0
5474,47123,45000,35342,0.75,0,0
5475,0,160631,0,0.75,1.77,357402
5476,222533,172665,166900,0.75,0,0
5477,1081993,811495,811495,0.75,5.55,6082685
5479,185050.24,27506,185050.24,1,0,0
5480,68575,51431,31184,0.75,1.21,85783
5481,76000,57000,57000,0.75,0,0
5482,286174,215250,214631,0.75,0,0
5483,390348,292761,0,0.75,1,391443
5484,0,97613,0,0.75,1.22,155228
5485,373148,335513,279861,0.75,0,0
5486,681550,511163,507588,0.75,7.37,5021098
5488,19350,14513,14513,0.75,0,0
5489,275219,292761,206414,0.75,1,391443
5491,0,802356,0,0,1.29,1340488
5492,138880,109017,104160,0.75,1.23,171673
5493,11245711,6457220,8434283,0.75,1.13,12931127
5494,0,1132305,0,0.75,5.78,8737944
5495,217287,165544,162965,0.75,0,0
5496,800000,620085,600000,0.75,0,0
5497,354450,275330,265838,0.75,1.01,449586
5498,12314,184816,9236,0.75,0,0
5499,135000,79487,75000,0.56,0,0
5501,37636,29542,28125,0.75,0,0
5502,19628,17881,14721,0.75,0,0
5505,624330,681993,624330,1,74.69,5135701
5508,1504663,1504530,1128497,0.75,1.46,2959042
5509,69143,53735,51857,0.75,3.6,2355796
5510,83863.55,67403,62897.66,0.75,12.71,1142132
5511,102694,76911,76911,0.75,0,0
5512,18482,14802,13862,0.75,0,0
5513,83445,101479,54594,0.65,1.4,21420
5515,180888.24,404445,135666.18,0.75,5.75,3185857
5516,76343.61,69922,57257.71,0.75,5.37,500781
5517,573870,337721,430367.6,0.75,0,0
5518,83011,74726,62258,0.75,5.09,506828
5520,349982,262487,262487,0.75,1.32,460917
5521,0,14251,0,0.75,0,0
5522,67973,45000,45000,0.66,0,0
5523,4465139,330991,3348854.32,0.75,6.97,36202963
5524,1517536,1289200,1138152,0.75,0,0
5525,70434.04,69391,52825.53,0.75,5.19,466081
5526,179616,225000,134712,0.75,0,0
5528,3720929,2325145,2790697,0.75,1.05,3911888
5530,0,590044,0,0.75,3.09,2430125
5532,30000,27000,27000,0.9,0,0
5533,161280,145152,145152,0.9,1.22,210059
5537,675000,607500,607500,0.9,4.03,2720790
5538,803500,602625,602625,0.75,0,0
5540,1615377,1211532.75,1211532.75,0.75,0,0
5543,298000,238370.72,223500,0.75,7.09,2208414
5548,10900657,881952,8175493,0.75,1,11087268
